Entry,Concentration,Created time,Creative Power,Health,Mental Product,Summary,Time Efficiency
10/18/2024,,"October 18, 2024 7:03 PM (GMT+7)",,,,0.52,
10/17/2024,,"October 17, 2024 7:03 PM (GMT+7)",,,,0.52,
10/16/2024,,"October 16, 2024 7:03 PM (GMT+7)",,,,0.52,
10/15/2024,,"October 15, 2024 7:04 PM (GMT+7)",,,,0.458,
10/14/2024,,"October 14, 2024 7:04 PM (GMT+7)",,,,0.36,
10/13/2024,,"October 13, 2024 7:04 PM (GMT+7)",,,,0.48,
10/12/2024,,"October 12, 2024 7:04 PM (GMT+7)",,,,0.48,
"@October 18, 2024 ",,"October 18, 2024 7:38 PM (GMT+7)",,,,0.5,
"@October 23, 2024 ",,"October 23, 2024 10:50 PM (GMT+7)",,,,0.71,
"@October 18, 2024 ",,"October 24, 2024 9:13 PM (GMT+7)",,,,0.72,
"@October 18, 2024 ",,"October 25, 2024 6:15 PM (GMT+7)",,,,0.76,
"@October 18, 2024 ",,"October 28, 2024 9:28 PM (GMT+7)",,,,0.45,
"@November 3, 2024 ",,"November 3, 2024",,,,0.45,
"@November 3, 2024 ",,"January 9, 2025",,,,0.32,
"@November 3, 2024 ",,"January 10, 2025",,,,0.25,
"@November 3, 2024 ",,"January 10, 2025",,,,0.25,
"@November 3, 2024 ",,"January 20, 2025",,,,0.65,
"@November 3, 2024 ",,"January 23, 2025",,,,0.638,
"@February 5, 2025 11:06 PM ",,"February 5, 2025",,,,0.65,
